Algorithm,InputType,Size,AverageTime(ns)
BubbleSort,Random,10000,159125866
BubbleSort,Random,20000,688779466
BubbleSort,Random,30000,1569624866
BubbleSort,Random,40000,3404573900
BubbleSort,Random,50000,5740777266
BubbleSort,Random,60000,6820422233
BubbleSort,Sorted,10000,16733566
BubbleSort,Sorted,20000,63660566
BubbleSort,Sorted,30000,138725300
BubbleSort,Sorted,40000,249069200
BubbleSort,Sorted,50000,397315466
BubbleSort,Sorted,60000,557936066
BubbleSort,ReverseSorted,10000,73233933
BubbleSort,ReverseSorted,20000,283206766
BubbleSort,ReverseSorted,30000,625276366
BubbleSort,ReverseSorted,40000,1107763866
BubbleSort,ReverseSorted,50000,1853753800
BubbleSort,ReverseSorted,60000,2600132333
