Algorithm,InputType,Size,AverageTime(ns)
BubbleSortFlag,Random,10000,130567566
BubbleSortFlag,Random,20000,611135700
BubbleSortFlag,Random,30000,1914332700
BubbleSortFlag,Random,40000,2813964800
BubbleSortFlag,Random,50000,3957583533
BubbleSortFlag,Random,60000,5631844800
BubbleSortFlag,Sorted,10000,6733
BubbleSortFlag,Sorted,20000,12733
BubbleSortFlag,Sorted,30000,20833
BubbleSortFlag,Sorted,40000,25166
BubbleSortFlag,Sorted,50000,34200
BubbleSortFlag,Sorted,60000,39766
BubbleSortFlag,ReverseSorted,10000,43063633
BubbleSortFlag,ReverseSorted,20000,188500800
BubbleSortFlag,ReverseSorted,30000,441487233
BubbleSortFlag,ReverseSorted,40000,745417900
BubbleSortFlag,ReverseSorted,50000,1230689600
BubbleSortFlag,ReverseSorted,60000,1843188633
