Algorithm,InputType,Size,AverageTime(ns)
InsertionSort,Random,10000,7377600
InsertionSort,Random,20000,29540100
InsertionSort,Random,30000,72901100
InsertionSort,Random,40000,127138566
InsertionSort,Random,50000,209191400
InsertionSort,Random,60000,281252700
InsertionSort,Sorted,10000,6633
InsertionSort,Sorted,20000,9433
InsertionSort,Sorted,30000,13700
InsertionSort,Sorted,40000,18100
InsertionSort,Sorted,50000,23100
InsertionSort,Sorted,60000,29366
InsertionSort,ReverseSorted,10000,16912600
InsertionSort,ReverseSorted,20000,64140900
InsertionSort,ReverseSorted,30000,139273766
InsertionSort,ReverseSorted,40000,243800533
InsertionSort,ReverseSorted,50000,607520766
InsertionSort,ReverseSorted,60000,1341875333
