Algorithm,InputType,Size,AverageTime(ns)
QuickSortMiddle,Random,10000,693800
QuickSortMiddle,Random,20000,1580966
QuickSortMiddle,Random,30000,2508900
QuickSortMiddle,Random,40000,3334233
QuickSortMiddle,Random,50000,4124900
QuickSortMiddle,Random,60000,5268533
QuickSortMiddle,Sorted,10000,168000
QuickSortMiddle,Sorted,20000,414033
QuickSortMiddle,Sorted,30000,592466
QuickSortMiddle,Sorted,40000,734600
QuickSortMiddle,Sorted,50000,1062066
QuickSortMiddle,Sorted,60000,1263766
QuickSortMiddle,ReverseSorted,10000,189633
QuickSortMiddle,ReverseSorted,20000,358066
QuickSortMiddle,ReverseSorted,30000,544166
QuickSortMiddle,ReverseSorted,40000,805400
QuickSortMiddle,ReverseSorted,50000,1133833
QuickSortMiddle,ReverseSorted,60000,1241500
