Algorithm,InputType,Size,AverageTime(ns)
SelectionSort,Random,10000,96712766
SelectionSort,Random,20000,387406800
SelectionSort,Random,30000,1208739100
SelectionSort,Random,40000,1585945300
SelectionSort,Random,50000,3066212566
SelectionSort,Random,60000,3610846233
SelectionSort,Sorted,10000,111602733
SelectionSort,Sorted,20000,452944366
SelectionSort,Sorted,30000,1084553233
SelectionSort,Sorted,40000,1789719333
SelectionSort,Sorted,50000,2466590500
SelectionSort,Sorted,60000,3648926566
SelectionSort,ReverseSorted,10000,100157833
SelectionSort,ReverseSorted,20000,410034166
SelectionSort,ReverseSorted,30000,971117233
SelectionSort,ReverseSorted,40000,1716645800
SelectionSort,ReverseSorted,50000,2670026066
SelectionSort,ReverseSorted,60000,3955589533
